Power Consumption,Power Generation,Battery Contribution (Charge/Discharge)
55.484693877551024,35.518175777403,-19.966518100148022
55.484693877551024,35.55121884221738,-19.933475035333643
55.484693877551024,35.5842780394,-19.900415838151027
55.484693877551024,35.61735332457916,-19.86734055297186
55.484693877551024,35.65044465336151,-19.834249224189513
55.484693877551024,35.68355198133219,-19.801141896218837
55.484693877551024,35.71667526405485,-19.768018613496174
55.484693877551024,35.74981445707178,-19.734879420479245
55.484693877551024,35.78296951590383,-19.701724361647194
55.484693877551024,35.816140396050606,-19.668553481500417
55.484693877551024,35.849327052990496,-19.635366824560528
55.484693877551024,35.88252944218064,-19.602164435370383
55.484693877551024,35.91574751905716,-19.56894635849386
55.484693877551024,35.948981239035014,-19.53571263851601
55.484693877551024,35.98223055750825,-19.50246332004277
55.484693877551024,36.01549542984992,-19.469198447701103
55.484693877551024,36.04877581141227,-19.435918066138754
55.484693877551024,36.08207165752663,-19.40262222002439
55.484693877551024,36.11538292350366,-19.369310954047364
55.484693877551024,36.14870956463328,-19.335984312917745
55.484693877551024,36.18205153618477,-19.30264234136625
55.484693877551024,36.215408793406866,-19.26928508414416
55.484693877551024,36.248781291527756,-19.235912586023268
55.484693877551024,36.282168985755185,-19.20252489179584
55.484693877551024,36.315571831276486,-19.169122046274538
55.484693877551024,36.348989783258666,-19.135704094292358
55.484693877551024,36.382422796848466,-19.102271080702558
55.484693877551024,36.415870827172384,-19.06882305037864
55.484693877551024,36.4493338293368,-19.035360048214223
55.484693877551024,36.48281175842797,-19.001882119123053
55.484693877551024,36.5163045695121,-18.968389308038923
55.484693877551024,36.54981221763548,-18.934881659915547
55.484693877551024,36.583334657824395,-18.90135921972663
55.484693877551024,36.61687184508537,-18.867822032465654
55.484693877551024,36.65042373440507,-18.834270143145957
55.484693877551024,36.683990280750464,-18.80070359680056
55.484693877551024,36.7175714390688,-18.767122438482225
55.484693877551024,36.75116716428778,-18.733526713263245
55.484693877551024,36.78477741131552,-18.699916466235507
55.484693877551024,36.81840213504062,-18.666291742510403
55.484693877551024,36.85204129033228,-18.632652587218743
55.484693877551024,36.88569483204032,-18.598999045510702
55.484693877551024,36.91936271499527,-18.56533116255575
55.484693877551024,36.95304489400838,-18.531648983542645
55.484693877551024,36.986741323871684,-18.49795255367934
55.484693877551024,37.020451959358184,-18.46424191819284
55.484693877551024,37.05417675522174,-18.430517122329285
55.484693877551024,37.087915666197205,-18.39677821135382
55.484693877551024,37.121668647000526,-18.363025230550498
55.484693877551024,37.15543565232872,-18.329258225222304
55.484693877551024,37.18921663686004,-18.295477240690985
55.484693877551024,37.223011555253876,-18.261682322297148
55.484693877551024,37.25682036215104,-18.227873515399985
55.484693877551024,37.29064301217358,-18.19405086537744
55.484693877551024,37.32447945992505,-18.160214417625973
55.484693877551024,37.358329659990474,-18.12636421756055
55.484693877551024,37.39219356693638,-18.092500310614646
55.484693877551024,37.42607113531092,-18.058622742240104
55.484693877551024,37.45996231964391,-18.024731557907117
55.484693877551024,37.49386707444685,-17.990826803104177
55.484693877551024,37.5277853542131,-17.956908523337923
55.484693877551024,37.56171711341783,-17.922976764133196
55.484693877551024,37.59566230651809,-17.88903157103293
55.484693877551024,37.629620887952925,-17.8550729895981
55.484693877551024,37.66359281214343,-17.821101065407596
55.484693877551024,37.69757803349274,-17.787115844058285
55.484693877551024,37.731576506386205,-17.75311737116482
55.484693877551024,37.7655881851913,-17.719105692359726
55.484693877551024,37.799613024257866,-17.685080853293158
55.484693877551024,37.83365097791804,-17.651042899632984
55.484693877551024,37.867702000486325,-17.6169918770647
55.484693877551024,37.90176604625974,-17.582927831291286
55.484693877551024,37.9358430695178,-17.548850808033222
55.484693877551024,37.96993302452259,-17.514760853028434
55.484693877551024,38.00403586551884,-17.480658012032187
55.484693877551024,38.038151546733985,-17.44654233081704
55.484693877551024,38.07228002237825,-17.412413855172773
55.484693877551024,38.10642124664466,-17.378272630906366
55.484693877551024,38.14057517370911,-17.344118703841914
55.484693877551024,38.17474175773049,-17.309952119820537
55.484693877551024,38.20892095285068,-17.27577292470034
55.484693877551024,38.24311271319463,-17.241581164356397
55.484693877551024,38.27731699287042,-17.207376884680606
55.484693877551024,38.31153374596935,-17.173160131581675
55.484693877551024,38.34576292656593,-17.138930950985092
